"","UniID","mom","ID","temp","active","instar","time","duration","mgain","rgrlog","rgrarith","time.per","dur","durbin"
"515","11.64.2","64",2,11,"y",4,NA,6,1,0.00672557874147139,0.166666666666667,"current",6,6
"516","11.64.2","64",2,11,"y",4,NA,24,3.1,0.00477337348602943,0.129166666666667,"current",24,24
"517","11.64.3","64",3,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"518","11.64.3","64",3,11,"y",4,NA,6,0.31,0.00149446189369566,0.0516666666666667,"current",6,6
"519","11.64.3","64",3,11,"y",4,NA,24,2.93,0.00325654744414035,0.122083333333333,"current",24,24
"520","11.64.4","64",4,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"521","11.64.4","64",4,11,"y",4,NA,6,1.76,0.0128889490615675,0.293333333333333,"current",6,6
"522","11.64.4","64",4,11,"y",4,NA,24,3.37,0.00573891395203039,0.140416666666667,"current",24,24
"523","11.64.5","64",5,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"524","11.64.5","64",5,11,"y",4,NA,6,1.33,0.00808122326542252,0.221666666666667,"current",6,6
"525","11.64.5","64",5,11,"y",4,NA,24,NA,NA,NA,"current",24,24
"526","11.64.6","64",6,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"527","11.64.6","64",6,11,"y",4,NA,6,2.92,0.0180501964839974,0.486666666666667,"current",6,6
"528","11.64.6","64",6,11,"y",4,NA,24,6.4,0.00873824102541145,0.266666666666667,"current",24,24
"529","11.65.1","65",1,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"530","11.65.1","65",1,11,"y",4,NA,6,0.880000000000001,0.00655762195483976,0.146666666666667,"current",6,6
"531","11.65.1","65",1,11,"y",4,NA,24,2.73,0.0046664596326685,0.11375,"current",24,24
"532","11.65.2","65",2,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"533","11.65.2","65",2,11,"y",4,NA,6,1.97,0.0103542173856868,0.328333333333333,"current",6,6
"534","11.65.2","65",2,11,"y",4,NA,24,7.22,0.00808882581453709,0.300833333333333,"current",24,24
